ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff
1	5	1e5	1000	1	0.5
2	5	1e5	1000	2	0.5
3	5	1e5	500	1	0.5
4	5	1e5	500	2	0.5
5	5	1e5	100	1	0.5
6	5	1e5	100	2	0.5
7	10	1e5	1000	1	0.5
8	10	1e5	1000	2	0.5
9	10	1e5	500	1	0.5
10	10	1e5	500	2	0.5
11	10	1e5	100	1	0.5
12	10	1e5	100	2	0.5
13	20	1e5	1000	1	0.5
14	20	1e5	1000	2	0.5
15	20	1e5	500	1	0.5
16	20	1e5	500	2	0.5
17	20	1e5	100	1	0.5
18	20	1e5	100	2	0.5
19	Coal	1e5	1000	1	0.5
20	Coal	1e5	1000	2	0.5
21	Coal	1e5	500	1	0.5
22	Coal	1e5	500	2	0.5
23	Coal	1e5	100	1	0.5
24	Coal	1e5	100	2	0.5
25	Recap	1e5	1000	1	0.5
26	Recap	1e5	1000	2	0.5
27	Recap	1e5	500	1	0.5
28	Recap	1e5	500	2	0.5
29	Recap	1e5	100	1	0.5
30	Recap	1e5	100	2	0.5
31	5	1e6	1000	1	0.5
32	5	1e6	1000	2	0.5
33	5	1e6	500	1	0.5
34	5	1e6	500	2	0.5
35	5	1e6	100	1	0.5
36	5	1e6	100	2	0.5
37	5	1e7	1000	1	0.5
38	5	1e7	1000	2	0.5
39	5	1e7	500	1	0.5
40	5	1e7	500	2	0.5
41	5	1e7	100	1	0.5
42	5	1e7	100	2	0.5
43	10	1e6	1000	1	0.5
44	10	1e6	1000	2	0.5
45	10	1e6	500	1	0.5
46	10	1e6	500	2	0.5
47	10	1e6	100	1	0.5
48	10	1e6	100	2	0.5
49	10	1e7	1000	1	0.5
50	10	1e7	1000	2	0.5
51	10	1e7	500	1	0.5
52	10	1e7	500	2	0.5
53	10	1e7	100	1	0.5
54	10	1e7	100	2	0.5
55	20	1e6	1000	1	0.5
56	20	1e6	1000	2	0.5
57	20	1e6	500	1	0.5
58	20	1e6	500	2	0.5
59	20	1e6	100	1	0.5
60	20	1e6	100	2	0.5
61	20	1e7	1000	1	0.5
62	20	1e7	1000	2	0.5
63	20	1e7	500	1	0.5
64	20	1e7	500	2	0.5
65	20	1e7	100	1	0.5
66	20	1e7	100	2	0.5
67	Coal	1e6	1000	1	0.5
68	Coal	1e6	1000	2	0.5
69	Coal	1e6	500	1	0.5
70	Coal	1e6	500	2	0.5
71	Coal	1e6	100	1	0.5
72	Coal	1e6	100	2	0.5
73	Coal	1e7	1000	1	0.5
74	Coal	1e7	1000	2	0.5
75	Coal	1e7	500	1	0.5
76	Coal	1e7	500	2	0.5
77	Coal	1e7	100	1	0.5
78	Coal	1e7	100	2	0.5
79	Recap	1e6	1000	1	0.5
80	Recap	1e6	1000	2	0.5
81	Recap	1e6	500	1	0.5
82	Recap	1e6	500	2	0.5
83	Recap	1e6	100	1	0.5
84	Recap	1e6	100	2	0.5
85	Recap	1e7	1000	1	0.5
86	Recap	1e7	1000	2	0.5
87	Recap	1e7	500	1	0.5
88	Recap	1e7	500	2	0.5
89	Recap	1e7	100	1	0.5
90	Recap	1e7	100	2	0.5
