ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep
1	5	1e5	1000	1
2	5	1e5	1000	2
3	5	1e5	500	1
4	5	1e5	500	2
5	5	1e5	100	1
6	5	1e5	100	2
7	5	1e6	1000	1
8	5	1e6	1000	2
9	5	1e6	500	1
10	5	1e6	500	2
11	5	1e6	100	1
12	5	1e6	100	2
13	5	1e7	1000	1
14	5	1e7	1000	2
15	5	1e7	500	1
16	5	1e7	500	2
17	5	1e7	100	1
18	5	1e7	100	2
19	10	1e5	1000	1
20	10	1e5	1000	2
21	10	1e5	500	1
22	10	1e5	500	2
23	10	1e5	100	1
24	10	1e5	100	2
25	10	1e6	1000	1
26	10	1e6	1000	2
27	10	1e6	500	1
28	10	1e6	500	2
29	10	1e6	100	1
30	10	1e6	100	2
31	10	1e7	1000	1
32	10	1e7	1000	2
33	10	1e7	500	1
34	10	1e7	500	2
35	10	1e7	100	1
36	10	1e7	100	2
37	20	1e5	1000	1
38	20	1e5	1000	2
39	20	1e5	500	1
40	20	1e5	500	2
41	20	1e5	100	1
42	20	1e5	100	2
43	20	1e6	1000	1
44	20	1e6	1000	2
45	20	1e6	500	1
46	20	1e6	500	2
47	20	1e6	100	1
48	20	1e6	100	2
49	20	1e7	1000	1
50	20	1e7	1000	2
51	20	1e7	500	1
52	20	1e7	500	2
53	20	1e7	100	1
54	20	1e7	100	2
55	Coal	1e5	1000	1
56	Coal	1e5	1000	2
57	Coal	1e5	500	1
58	Coal	1e5	500	2
59	Coal	1e5	100	1
60	Coal	1e5	100	2
61	Coal	1e6	1000	1
62	Coal	1e6	1000	2
63	Coal	1e6	500	1
64	Coal	1e6	500	2
65	Coal	1e6	100	1
66	Coal	1e6	100	2
67	Coal	1e7	1000	1
68	Coal	1e7	1000	2
69	Coal	1e7	500	1
70	Coal	1e7	500	2
71	Coal	1e7	100	1
72	Coal	1e7	100	2
