ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
1	5	1e5	1000	1	0.5	1
2	5	1e5	1000	2	0.5	1
3	5	1e5	500	1	0.5	1
4	5	1e5	500	2	0.5	1
5	5	1e5	100	1	0.5	1
6	5	1e5	100	2	0.5	1
7	10	1e5	1000	1	0.5	1
8	10	1e5	1000	2	0.5	1
9	10	1e5	500	1	0.5	1
10	10	1e5	500	2	0.5	1
11	10	1e5	100	1	0.5	1
12	10	1e5	100	2	0.5	1
13	20	1e5	1000	1	0.5	1
14	20	1e5	1000	2	0.5	1
15	20	1e5	500	1	0.5	1
16	20	1e5	500	2	0.5	1
17	20	1e5	100	1	0.5	1
18	20	1e5	100	2	0.5	1
19	Coal	1e5	1000	1	0.5	1
20	Coal	1e5	1000	2	0.5	1
21	Coal	1e5	500	1	0.5	1
22	Coal	1e5	500	2	0.5	1
23	Coal	1e5	100	1	0.5	1
24	Coal	1e5	100	2	0.5	1
25	Recap	1e5	1000	1	0.5	1
26	Recap	1e5	1000	2	0.5	1
27	Recap	1e5	500	1	0.5	1
28	Recap	1e5	500	2	0.5	1
29	Recap	1e5	100	1	0.5	1
30	Recap	1e5	100	2	0.5	1
31	5	1e5	1000	1	0.5	2
32	5	1e5	1000	2	0.5	2
33	5	1e5	500	1	0.5	2
34	5	1e5	500	2	0.5	2
35	5	1e5	100	1	0.5	2
36	5	1e5	100	2	0.5	2
37	10	1e5	1000	1	0.5	2
38	10	1e5	1000	2	0.5	2
39	10	1e5	500	1	0.5	2
40	10	1e5	500	2	0.5	2
41	10	1e5	100	1	0.5	2
42	10	1e5	100	2	0.5	2
43	20	1e5	1000	1	0.5	2
44	20	1e5	1000	2	0.5	2
45	20	1e5	500	1	0.5	2
46	20	1e5	500	2	0.5	2
47	20	1e5	100	1	0.5	2
48	20	1e5	100	2	0.5	2
49	Coal	1e5	1000	1	0.5	2
50	Coal	1e5	1000	2	0.5	2
51	Coal	1e5	500	1	0.5	2
52	Coal	1e5	500	2	0.5	2
53	Coal	1e5	100	1	0.5	2
54	Coal	1e5	100	2	0.5	2
55	Recap	1e5	1000	1	0.5	2
56	Recap	1e5	1000	2	0.5	2
57	Recap	1e5	500	1	0.5	2
58	Recap	1e5	500	2	0.5	2
59	Recap	1e5	100	1	0.5	2
60	Recap	1e5	100	2	0.5	2
61	5	1e5	1000	1	0.5	3
62	5	1e5	1000	2	0.5	3
63	5	1e5	500	1	0.5	3
64	5	1e5	500	2	0.5	3
65	5	1e5	100	1	0.5	3
66	5	1e5	100	2	0.5	3
67	10	1e5	1000	1	0.5	3
68	10	1e5	1000	2	0.5	3
69	10	1e5	500	1	0.5	3
70	10	1e5	500	2	0.5	3
71	10	1e5	100	1	0.5	3
72	10	1e5	100	2	0.5	3
73	20	1e5	1000	1	0.5	3
74	20	1e5	1000	2	0.5	3
