ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff
1	5	1e5	10	1	0.0
2	5	1e5	10	2	0.0
3	5	1e5	5	1	0.0
4	5	1e5	5	2	0.0
5	5	1e5	1	1	0.0
6	5	1e5	1	2	0.0
7	10	1e5	10	1	0.0
8	10	1e5	10	2	0.0
9	10	1e5	5	1	0.0
10	10	1e5	5	2	0.0
11	10	1e5	1	1	0.0
12	10	1e5	1	2	0.0
13	20	1e5	10	1	0.0
14	20	1e5	10	2	0.0
15	20	1e5	5	1	0.0
16	20	1e5	5	2	0.0
17	20	1e5	1	1	0.0
18	20	1e5	1	2	0.0
19	Coal	1e5	10	1	0.0
20	Coal	1e5	10	2	0.0
21	Coal	1e5	5	1	0.0
22	Coal	1e5	5	2	0.0
23	Coal	1e5	1	1	0.0
24	Coal	1e5	1	2	0.0
25	Recap	1e5	10	1	0.0
26	Recap	1e5	10	2	0.0
27	Recap	1e5	5	1	0.0
28	Recap	1e5	5	2	0.0
29	Recap	1e5	1	1	0.0
30	Recap	1e5	1	2	0.0
31	5	1e5	10	1	0.5
32	5	1e5	10	2	0.5
33	5	1e5	5	1	0.5
34	5	1e5	5	2	0.5
35	5	1e5	1	1	0.5
36	5	1e5	1	2	0.5
37	10	1e5	10	1	0.5
38	10	1e5	10	2	0.5
39	10	1e5	5	1	0.5
40	10	1e5	5	2	0.5
41	10	1e5	1	1	0.5
42	10	1e5	1	2	0.5
43	20	1e5	10	1	0.5
44	20	1e5	10	2	0.5
45	20	1e5	5	1	0.5
46	20	1e5	5	2	0.5
47	20	1e5	1	1	0.5
48	20	1e5	1	2	0.5
49	Coal	1e5	10	1	0.5
50	Coal	1e5	10	2	0.5
51	Coal	1e5	5	1	0.5
52	Coal	1e5	5	2	0.5
53	Coal	1e5	1	1	0.5
54	Coal	1e5	1	2	0.5
55	Recap	1e5	10	1	0.5
56	Recap	1e5	10	2	0.5
57	Recap	1e5	5	1	0.5
58	Recap	1e5	5	2	0.5
59	Recap	1e5	1	1	0.5
60	Recap	1e5	1	2	0.5
61	5	1e6	10	1	0.0
62	5	1e6	10	2	0.0
63	5	1e6	5	1	0.0
64	5	1e6	5	2	0.0
65	5	1e6	1	1	0.0
66	5	1e6	1	2	0.0
67	5	1e7	10	1	0.0
68	5	1e7	10	2	0.0
69	5	1e7	5	1	0.0
70	5	1e7	5	2	0.0
71	5	1e7	1	1	0.0
72	5	1e7	1	2	0.0
73	10	1e6	10	1	0.0
74	10	1e6	10	2	0.0
75	10	1e6	5	1	0.0
76	10	1e6	5	2	0.0
77	10	1e6	1	1	0.0
78	10	1e6	1	2	0.0
79	10	1e7	10	1	0.0
80	10	1e7	10	2	0.0
81	10	1e7	5	1	0.0
82	10	1e7	5	2	0.0
83	10	1e7	1	1	0.0
84	10	1e7	1	2	0.0
85	20	1e6	10	1	0.0
86	20	1e6	10	2	0.0
87	20	1e6	5	1	0.0
88	20	1e6	5	2	0.0
89	20	1e6	1	1	0.0
90	20	1e6	1	2	0.0
91	20	1e7	10	1	0.0
92	20	1e7	10	2	0.0
93	20	1e7	5	1	0.0
94	20	1e7	5	2	0.0
95	20	1e7	1	1	0.0
96	20	1e7	1	2	0.0
97	Coal	1e6	10	1	0.0
98	Coal	1e6	10	2	0.0
99	Coal	1e6	5	1	0.0
100	Coal	1e6	5	2	0.0
101	Coal	1e6	1	1	0.0
102	Coal	1e6	1	2	0.0
103	Coal	1e7	10	1	0.0
104	Coal	1e7	10	2	0.0
105	Coal	1e7	5	1	0.0
106	Coal	1e7	5	2	0.0
107	Coal	1e7	1	1	0.0
108	Coal	1e7	1	2	0.0
109	Recap	1e6	10	1	0.0
110	Recap	1e6	10	2	0.0
111	Recap	1e6	5	1	0.0
112	Recap	1e6	5	2	0.0
113	Recap	1e6	1	1	0.0
114	Recap	1e6	1	2	0.0
115	Recap	1e7	10	1	0.0
116	Recap	1e7	10	2	0.0
117	Recap	1e7	5	1	0.0
118	Recap	1e7	5	2	0.0
119	Recap	1e7	1	1	0.0
120	Recap	1e7	1	2	0.0
121	5	1e6	10	1	0.5
122	5	1e6	10	2	0.5
123	5	1e6	5	1	0.5
124	5	1e6	5	2	0.5
125	5	1e6	1	1	0.5
126	5	1e6	1	2	0.5
127	5	1e7	10	1	0.5
128	5	1e7	10	2	0.5
129	5	1e7	5	1	0.5
130	5	1e7	5	2	0.5
131	5	1e7	1	1	0.5
132	5	1e7	1	2	0.5
133	10	1e6	10	1	0.5
134	10	1e6	10	2	0.5
135	10	1e6	5	1	0.5
136	10	1e6	5	2	0.5
137	10	1e6	1	1	0.5
138	10	1e6	1	2	0.5
139	10	1e7	10	1	0.5
140	10	1e7	10	2	0.5
141	10	1e7	5	1	0.5
142	10	1e7	5	2	0.5
143	10	1e7	1	1	0.5
144	10	1e7	1	2	0.5
145	20	1e6	10	1	0.5
146	20	1e6	10	2	0.5
147	20	1e6	5	1	0.5
148	20	1e6	5	2	0.5
149	20	1e6	1	1	0.5
150	20	1e6	1	2	0.5
151	20	1e7	10	1	0.5
152	20	1e7	10	2	0.5
153	20	1e7	5	1	0.5
154	20	1e7	5	2	0.5
155	20	1e7	1	1	0.5
156	20	1e7	1	2	0.5
157	Coal	1e6	10	1	0.5
158	Coal	1e6	10	2	0.5
159	Coal	1e6	5	1	0.5
160	Coal	1e6	5	2	0.5
161	Coal	1e6	1	1	0.5
162	Coal	1e6	1	2	0.5
163	Coal	1e7	10	1	0.5
164	Coal	1e7	10	2	0.5
165	Coal	1e7	5	1	0.5
166	Coal	1e7	5	2	0.5
167	Coal	1e7	1	1	0.5
168	Coal	1e7	1	2	0.5
169	Recap	1e6	10	1	0.5
170	Recap	1e6	10	2	0.5
171	Recap	1e6	5	1	0.5
172	Recap	1e6	5	2	0.5
173	Recap	1e6	1	1	0.5
174	Recap	1e6	1	2	0.5
175	Recap	1e7	10	1	0.5
176	Recap	1e7	10	2	0.5
177	Recap	1e7	5	1	0.5
178	Recap	1e7	5	2	0.5
179	Recap	1e7	1	1	0.5
180	Recap	1e7	1	2	0.5

