ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep
1	5	1e5	10	1
2	5	1e5	10	2
3	5	1e5	5	1
4	5	1e5	5	2
5	5	1e5	1	1
6	5	1e5	1	2
7	5	1e6	10	1
8	5	1e6	10	2
9	5	1e6	5	1
10	5	1e6	5	2
11	5	1e6	1	1
12	5	1e6	1	2
13	5	1e7	10	1
14	5	1e7	10	2
15	5	1e7	5	1
16	5	1e7	5	2
17	5	1e7	1	1
18	5	1e7	1	2
19	10	1e5	10	1
20	10	1e5	10	2
21	10	1e5	5	1
22	10	1e5	5	2
23	10	1e5	1	1
24	10	1e5	1	2
25	10	1e6	10	1
26	10	1e6	10	2
27	10	1e6	5	1
28	10	1e6	5	2
29	10	1e6	1	1
30	10	1e6	1	2
31	10	1e7	10	1
32	10	1e7	10	2
33	10	1e7	5	1
34	10	1e7	5	2
35	10	1e7	1	1
36	10	1e7	1	2
37	20	1e5	10	1
38	20	1e5	10	2
39	20	1e5	5	1
40	20	1e5	5	2
41	20	1e5	1	1
42	20	1e5	1	2
43	20	1e6	10	1
44	20	1e6	10	2
45	20	1e6	5	1
46	20	1e6	5	2
47	20	1e6	1	1
48	20	1e6	1	2
49	20	1e7	10	1
50	20	1e7	10	2
51	20	1e7	5	1
52	20	1e7	5	2
53	20	1e7	1	1
54	20	1e7	1	2
55	Coal	1e5	10	1
56	Coal	1e5	10	2
57	Coal	1e5	5	1
58	Coal	1e5	5	2
59	Coal	1e5	1	1
60	Coal	1e5	1	2
61	Coal	1e6	10	1
62	Coal	1e6	10	2
63	Coal	1e6	5	1
64	Coal	1e6	5	2
65	Coal	1e6	1	1
66	Coal	1e6	1	2
67	Coal	1e7	10	1
68	Coal	1e7	10	2
69	Coal	1e7	5	1
70	Coal	1e7	5	2
71	Coal	1e7	1	1
72	Coal	1e7	1	2
