ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
1	5	1e5	10	1	0.0	1
2	5	1e5	10	2	0.0	1
3	5	1e5	5	1	0.0	1
4	5	1e5	5	2	0.0	1
5	5	1e5	1	1	0.0	1
6	5	1e5	1	2	0.0	1
7	10	1e5	10	1	0.0	1
8	10	1e5	10	2	0.0	1
9	10	1e5	5	1	0.0	1
10	10	1e5	5	2	0.0	1
11	10	1e5	1	1	0.0	1
12	10	1e5	1	2	0.0	1
13	20	1e5	10	1	0.0	1
14	20	1e5	10	2	0.0	1
15	20	1e5	5	1	0.0	1
16	20	1e5	5	2	0.0	1
17	20	1e5	1	1	0.0	1
18	20	1e5	1	2	0.0	1
19	Coal	1e5	10	1	0.0	1
20	Coal	1e5	10	2	0.0	1
21	Coal	1e5	5	1	0.0	1
22	Coal	1e5	5	2	0.0	1
23	Coal	1e5	1	1	0.0	1
24	Coal	1e5	1	2	0.0	1
25	Recap	1e5	10	1	0.0	1
26	Recap	1e5	10	2	0.0	1
27	Recap	1e5	5	1	0.0	1
28	Recap	1e5	5	2	0.0	1
29	Recap	1e5	1	1	0.0	1
30	Recap	1e5	1	2	0.0	1
31	5	1e5	10	1	0.0	2
32	5	1e5	10	2	0.0	2
33	5	1e5	5	1	0.0	2
34	5	1e5	5	2	0.0	2
35	5	1e5	1	1	0.0	2
36	5	1e5	1	2	0.0	2
37	10	1e5	10	1	0.0	2
38	10	1e5	10	2	0.0	2
39	10	1e5	5	1	0.0	2
40	10	1e5	5	2	0.0	2
41	10	1e5	1	1	0.0	2
42	10	1e5	1	2	0.0	2
43	20	1e5	10	1	0.0	2
44	20	1e5	10	2	0.0	2
45	20	1e5	5	1	0.0	2
46	20	1e5	5	2	0.0	2
47	20	1e5	1	1	0.0	2
48	20	1e5	1	2	0.0	2
49	Coal	1e5	10	1	0.0	2
50	Coal	1e5	10	2	0.0	2
51	Coal	1e5	5	1	0.0	2
52	Coal	1e5	5	2	0.0	2
53	Coal	1e5	1	1	0.0	2
54	Coal	1e5	1	2	0.0	2
55	Recap	1e5	10	1	0.0	2
56	Recap	1e5	10	2	0.0	2
57	Recap	1e5	5	1	0.0	2
58	Recap	1e5	5	2	0.0	2
59	Recap	1e5	1	1	0.0	2
60	Recap	1e5	1	2	0.0	2
61	5	1e5	10	1	0.0	3
62	5	1e5	10	2	0.0	3
63	5	1e5	5	1	0.0	3
64	5	1e5	5	2	0.0	3
65	5	1e5	1	1	0.0	3
66	5	1e5	1	2	0.0	3
67	10	1e5	10	1	0.0	3
68	10	1e5	10	2	0.0	3
69	10	1e5	5	1	0.0	3
70	10	1e5	5	2	0.0	3
71	10	1e5	1	1	0.0	3
72	10	1e5	1	2	0.0	3
73	20	1e5	10	1	0.0	3
74	20	1e5	10	2	0.0	3
75	20	1e5	5	1	0.0	3
76	20	1e5	5	2	0.0	3
77	20	1e5	1	1	0.0	3
78	20	1e5	1	2	0.0	3
79	Coal	1e5	10	1	0.0	3
80	Coal	1e5	10	2	0.0	3
81	Coal	1e5	5	1	0.0	3
82	Coal	1e5	5	2	0.0	3
83	Coal	1e5	1	1	0.0	3
84	Coal	1e5	1	2	0.0	3
85	Recap	1e5	10	1	0.0	3
86	Recap	1e5	10	2	0.0	3
87	Recap	1e5	5	1	0.0	3
88	Recap	1e5	5	2	0.0	3
89	Recap	1e5	1	1	0.0	3
90	Recap	1e5	1	2	0.0	3
91	5	1e5	10	1	0.0	4
92	5	1e5	10	2	0.0	4
93	5	1e5	5	1	0.0	4
94	5	1e5	5	2	0.0	4
95	5	1e5	1	1	0.0	4
96	5	1e5	1	2	0.0	4
97	10	1e5	10	1	0.0	4
98	10	1e5	10	2	0.0	4
99	10	1e5	5	1	0.0	4
100	10	1e5	5	2	0.0	4
101	10	1e5	1	1	0.0	4
102	10	1e5	1	2	0.0	4
103	20	1e5	10	1	0.0	4
104	20	1e5	10	2	0.0	4
105	20	1e5	5	1	0.0	4
106	20	1e5	5	2	0.0	4
107	20	1e5	1	1	0.0	4
108	20	1e5	1	2	0.0	4
109	Coal	1e5	10	1	0.0	4
110	Coal	1e5	10	2	0.0	4
111	Coal	1e5	5	1	0.0	4
112	Coal	1e5	5	2	0.0	4
113	Coal	1e5	1	1	0.0	4
114	Coal	1e5	1	2	0.0	4
115	Recap	1e5	10	1	0.0	4
116	Recap	1e5	10	2	0.0	4
117	Recap	1e5	5	1	0.0	4
118	Recap	1e5	5	2	0.0	4
119	Recap	1e5	1	1	0.0	4
120	Recap	1e5	1	2	0.0	4
121	5	1e5	10	1	0.0	5
122	5	1e5	10	2	0.0	5
123	5	1e5	5	1	0.0	5
124	5	1e5	5	2	0.0	5
125	5	1e5	1	1	0.0	5
126	5	1e5	1	2	0.0	5
127	10	1e5	10	1	0.0	5
128	10	1e5	10	2	0.0	5
129	10	1e5	5	1	0.0	5
130	10	1e5	5	2	0.0	5
131	10	1e5	1	1	0.0	5
132	10	1e5	1	2	0.0	5
133	20	1e5	10	1	0.0	5
134	20	1e5	10	2	0.0	5
135	20	1e5	5	1	0.0	5
136	20	1e5	5	2	0.0	5
137	20	1e5	1	1	0.0	5
138	20	1e5	1	2	0.0	5
139	Coal	1e5	10	1	0.0	5
140	Coal	1e5	10	2	0.0	5
